id,name,base_experience,height,weight,abilities,primary_type,secondary_type,move_1,move_2,move_3,move_4,move_5,hp,attack,defense,special-attack,special-defense,speed
200,misdreavus,87,7,10,levitate,ghost,,headbutt,double-edge,growl,psybeam,hyper-beam,60,60,60,85,85,85
201,unown-a,118,5,50,levitate,psychic,,hidden-power,,,,,48,72,48,72,48,48
202,wobbuffet,142,13,285,"shadow-tag, telepathy",psychic,,counter,amnesia,splash,destiny-bond,charm,190,33,58,33,58,33
203,girafarig,159,15,415,"inner-focus, early-bird, sap-sipper",normal,psychic,razor-wind,stomp,double-kick,headbutt,tackle,70,80,65,90,65,85
204,pineco,58,6,72,"sturdy, overcoat",bug,,headbutt,tackle,body-slam,take-down,double-edge,50,65,90,35,35,15
205,forretress,163,12,1258,"sturdy, overcoat",bug,steel,headbutt,tackle,body-slam,take-down,double-edge,75,90,140,60,60,40
206,dunsparce,145,15,140,"serene-grace, run-away, rattled",normal,,bind,headbutt,body-slam,take-down,double-edge,100,70,70,65,65,45
207,gligar,86,11,648,"hyper-cutter, sand-veil, immunity",ground,flying,guillotine,razor-wind,swords-dance,cut,wing-attack,65,75,105,35,65,85
208,steelix,179,92,4000,"rock-head, sturdy, sheer-force",steel,ground,cut,bind,slam,headbutt,tackle,75,85,200,55,65,30
209,snubbull,60,6,78,"intimidate, run-away, rattled",fairy,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,60,80,50,40,40,30
210,granbull,158,14,487,"intimidate, quick-feet, rattled",fairy,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,90,120,75,60,60,45
211,qwilfish,88,5,39,"poison-point, swift-swim, intimidate",water,poison,swords-dance,headbutt,tackle,take-down,double-edge,65,95,85,55,55,85
212,scizor,175,18,1180,"swarm, technician, light-metal",bug,steel,razor-wind,swords-dance,cut,wing-attack,headbutt,70,130,100,55,80,65
213,shuckle,177,6,205,"sturdy, gluttony, contrary",bug,rock,bind,headbutt,body-slam,wrap,double-edge,20,10,230,10,230,5
214,heracross,175,15,540,"swarm, guts, moxie",bug,fighting,swords-dance,cut,headbutt,horn-attack,fury-attack,80,125,75,40,95,85
215,sneasel,86,9,280,"inner-focus, keen-eye, pickpocket",dark,ice,mega-punch,ice-punch,scratch,swords-dance,cut,55,95,55,35,75,115
216,teddiursa,66,6,88,"pickup, quick-feet, honey-gather",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,60,80,50,50,50,40
217,ursaring,175,18,1258,"guts, quick-feet, unnerve",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,90,130,75,75,75,55
218,slugma,50,7,350,"magma-armor, flame-body, weak-armor",fire,,body-slam,take-down,double-edge,ember,flamethrower,40,40,40,70,40,20
219,magcargo,151,8,550,"magma-armor, flame-body, weak-armor",fire,rock,body-slam,take-down,double-edge,ember,flamethrower,60,50,120,90,80,30
220,swinub,50,4,65,"oblivious, snow-cloak, thick-fat",ice,ground,headbutt,tackle,body-slam,take-down,double-edge,50,50,40,30,30,50
221,piloswine,158,11,558,"oblivious, snow-cloak, thick-fat",ice,ground,headbutt,horn-attack,fury-attack,tackle,body-slam,100,100,80,60,60,50
222,corsola,144,6,50,"hustle, natural-cure, regenerator",water,rock,headbutt,tackle,body-slam,double-edge,mist,65,55,95,65,95,35
223,remoraid,60,6,120,"hustle, sniper, moody",water,,double-edge,supersonic,flamethrower,water-gun,hydro-pump,35,65,35,65,35,65
224,octillery,168,9,285,"suction-cups, sniper, moody",water,,bind,wrap,double-edge,flamethrower,water-gun,75,105,75,105,75,45
225,delibird,116,9,160,"vital-spirit, hustle, insomnia",ice,flying,mega-punch,ice-punch,fly,mega-kick,headbutt,45,55,45,65,45,75
226,mantine,170,21,2200,"swift-swim, water-absorb, water-veil",water,flying,wing-attack,slam,headbutt,tackle,body-slam,85,40,70,80,140,70
227,skarmory,163,17,505,"keen-eye, sturdy, weak-armor",steel,flying,swords-dance,cut,wing-attack,whirlwind,fly,65,80,140,40,70,70
228,houndour,66,6,108,"early-bird, flash-fire, unnerve",dark,fire,headbutt,body-slam,take-down,double-edge,leer,45,60,30,80,50,65
229,houndoom,175,14,350,"early-bird, flash-fire, unnerve",dark,fire,headbutt,body-slam,take-down,double-edge,leer,75,90,50,110,80,95
230,kingdra,243,18,1520,"swift-swim, sniper, damp",water,dragon,headbutt,body-slam,take-down,double-edge,leer,75,95,95,95,95,85
231,phanpy,66,5,335,"pickup, sand-veil",ground,,slam,headbutt,tackle,body-slam,take-down,90,60,60,40,40,40
232,donphan,175,11,1200,"sturdy, sand-veil",ground,,slam,headbutt,horn-attack,fury-attack,tackle,90,120,120,60,60,50
233,porygon2,180,6,325,"trace, download, analytic",normal,,tackle,take-down,double-edge,ice-beam,blizzard,85,80,90,105,95,60
234,stantler,163,14,712,"intimidate, frisk, sap-sipper",normal,,stomp,double-kick,jump-kick,sand-attack,headbutt,73,95,62,85,65,85
235,smeargle,88,12,580,"own-tempo, technician, moody",normal,,sketch,,,,,55,20,35,20,45,75
236,tyrogue,42,7,210,"guts, steadfast, vital-spirit",fighting,,mega-punch,mega-kick,headbutt,tackle,body-slam,35,35,35,35,35,35
237,hitmontop,159,14,480,"intimidate, technician, steadfast",fighting,,mega-punch,mega-kick,rolling-kick,headbutt,tackle,50,95,95,35,110,70
238,smoochum,61,4,60,"oblivious, forewarn, hydration",ice,psychic,pound,mega-punch,ice-punch,mega-kick,body-slam,45,30,15,85,65,65
239,elekid,72,6,235,"static, vital-spirit",electric,,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,45,63,37,65,55,95
240,magby,73,7,214,"flame-body, vital-spirit",fire,,karate-chop,mega-punch,fire-punch,thunder-punch,mega-kick,45,75,37,70,55,83
241,miltank,172,12,755,"thick-fat, scrappy, sap-sipper",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,95,80,105,40,70,100
242,blissey,608,15,468,"natural-cure, serene-grace, healer",normal,,pound,double-slap,mega-punch,fire-punch,ice-punch,255,10,10,75,135,55
243,raikou,261,19,1780,"pressure, inner-focus",electric,,cut,headbutt,body-slam,take-down,double-edge,90,85,75,115,100,115
244,entei,261,21,1980,"pressure, inner-focus",fire,,cut,stomp,headbutt,body-slam,take-down,115,115,85,90,75,100
245,suicune,261,20,1870,"pressure, inner-focus",water,,cut,gust,headbutt,body-slam,take-down,100,75,115,90,115,85
246,larvitar,60,6,720,"guts, sand-veil",rock,ground,stomp,headbutt,tackle,body-slam,take-down,50,64,50,45,50,41
247,pupitar,144,12,1520,shed-skin,rock,ground,headbutt,tackle,body-slam,take-down,thrash,70,84,70,65,70,51
248,tyranitar,270,20,2020,"sand-stream, unnerve",rock,dark,mega-punch,fire-punch,ice-punch,thunder-punch,cut,100,134,110,95,100,61
249,lugia,306,52,2160,"pressure, multiscale",psychic,flying,gust,whirlwind,fly,headbutt,body-slam,106,90,130,90,154,110
250,ho-oh,306,38,1990,"pressure, regenerator",fire,flying,gust,whirlwind,fly,body-slam,take-down,106,130,90,110,154,90
251,celebi,270,6,50,natural-cure,psychic,grass,swords-dance,cut,double-edge,hyper-beam,leech-seed,100,100,100,100,100,100
252,treecko,62,5,50,"overgrow, unburden",grass,,pound,mega-punch,thunder-punch,razor-wind,swords-dance,40,45,35,65,55,70
253,grovyle,142,9,216,"overgrow, unburden",grass,,pound,mega-punch,thunder-punch,swords-dance,cut,50,65,45,85,65,95
254,sceptile,239,17,522,"overgrow, unburden",grass,,pound,mega-punch,thunder-punch,swords-dance,cut,70,85,65,105,85,120
255,torchic,62,4,25,"blaze, speed-boost",fire,,mega-punch,scratch,swords-dance,cut,mega-kick,45,60,40,70,50,45
256,combusken,142,9,195,"blaze, speed-boost",fire,fighting,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,60,85,60,85,60,55
257,blaziken,239,19,520,"blaze, speed-boost",fire,fighting,mega-punch,fire-punch,thunder-punch,scratch,swords-dance,80,120,70,110,70,80
258,mudkip,62,4,76,"torrent, damp",water,,stomp,headbutt,tackle,body-slam,take-down,50,70,50,50,50,40
259,marshtomp,142,7,280,"torrent, damp",water,ground,mega-punch,ice-punch,stomp,mega-kick,headbutt,70,85,70,60,70,50
260,swampert,241,15,819,"torrent, damp",water,ground,mega-punch,ice-punch,stomp,mega-kick,headbutt,100,110,90,85,90,60
261,poochyena,56,5,136,"run-away, quick-feet, rattled",dark,,sand-attack,headbutt,tackle,body-slam,take-down,35,55,35,30,30,35
262,mightyena,147,10,370,"intimidate, quick-feet, moxie",dark,,sand-attack,headbutt,tackle,body-slam,take-down,70,90,70,60,60,70
263,zigzagoon,56,4,175,"pickup, gluttony, quick-feet",normal,,cut,sand-attack,headbutt,tackle,body-slam,38,30,41,30,41,60
264,linoone,147,5,325,"pickup, gluttony, quick-feet",normal,,cut,sand-attack,headbutt,tackle,body-slam,78,70,61,50,61,100
265,wurmple,56,3,36,"shield-dust, run-away",bug,,tackle,poison-sting,string-shot,snore,bug-bite,45,45,35,20,30,20
266,silcoon,72,6,100,shed-skin,bug,,tackle,poison-sting,string-shot,harden,iron-defense,50,35,55,25,25,15
267,beautifly,178,10,284,"swarm, rivalry",bug,flying,gust,whirlwind,tackle,double-edge,poison-sting,60,70,50,100,50,65
268,cascoon,72,7,115,shed-skin,bug,,tackle,poison-sting,string-shot,harden,iron-defense,50,35,55,25,25,15
269,dustox,173,12,316,"shield-dust, compound-eyes",bug,poison,gust,whirlwind,tackle,double-edge,poison-sting,60,50,70,50,90,65
270,lotad,44,5,26,"swift-swim, rain-dish, own-tempo",water,grass,swords-dance,headbutt,body-slam,take-down,double-edge,40,30,30,40,50,30
271,lombre,119,12,325,"swift-swim, rain-dish, own-tempo",water,grass,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,60,50,50,60,70,50
272,ludicolo,216,15,550,"swift-swim, rain-dish, own-tempo",water,grass,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,80,70,70,90,100,70
273,seedot,44,5,40,"chlorophyll, early-bird, pickpocket",grass,,razor-wind,swords-dance,headbutt,tackle,body-slam,40,40,50,30,30,30
274,nuzleaf,119,10,280,"chlorophyll, early-bird, pickpocket",grass,dark,pound,razor-wind,swords-dance,cut,mega-kick,70,70,40,60,40,60
275,shiftry,216,13,596,"chlorophyll, wind-rider, pickpocket",grass,dark,pound,swords-dance,cut,whirlwind,mega-kick,90,100,60,90,60,80
276,taillow,54,3,23,"guts, scrappy",normal,flying,wing-attack,whirlwind,fly,double-edge,growl,40,55,30,30,30,85
277,swellow,159,7,198,"guts, scrappy",normal,flying,wing-attack,fly,double-edge,growl,hyper-beam,60,85,60,75,50,125
278,wingull,54,6,95,"keen-eye, hydration, rain-dish",water,flying,gust,wing-attack,fly,take-down,double-edge,40,30,30,55,30,85
279,pelipper,154,12,280,"keen-eye, drizzle, rain-dish",water,flying,wing-attack,fly,body-slam,take-down,double-edge,60,50,100,95,70,65
280,ralts,40,4,66,"synchronize, trace, telepathy",psychic,fairy,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,28,25,25,45,35,40
281,kirlia,97,8,202,"synchronize, trace, telepathy",psychic,fairy,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,38,35,35,65,55,50
282,gardevoir,233,16,484,"synchronize, trace, telepathy",psychic,fairy,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,68,65,65,125,115,80
283,surskit,54,5,17,"swift-swim, rain-dish",bug,water,take-down,double-edge,mist,water-gun,hydro-pump,40,30,32,50,52,65
284,masquerain,159,8,36,"intimidate, unnerve",bug,flying,gust,whirlwind,take-down,double-edge,supersonic,70,60,62,100,82,80
285,shroomish,59,4,45,"effect-spore, poison-heal, quick-feet",grass,,swords-dance,headbutt,tackle,body-slam,take-down,60,40,60,40,60,35
286,breloom,161,12,392,"effect-spore, poison-heal, technician",grass,fighting,mega-punch,thunder-punch,swords-dance,cut,mega-kick,60,130,80,60,60,70
287,slakoth,56,8,240,truant,normal,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,60,60,60,35,35,30
288,vigoroth,154,14,465,vital-spirit,normal,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,80,80,80,55,55,90
289,slaking,252,20,1305,truant,normal,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,150,160,100,95,65,100
290,nincada,53,5,55,"compound-eyes, run-away",bug,ground,scratch,cut,gust,sand-attack,double-edge,31,45,90,30,30,40
291,ninjask,160,8,120,"speed-boost, infiltrator",bug,flying,scratch,swords-dance,cut,sand-attack,double-edge,61,90,45,50,50,160
292,shedinja,83,8,12,wonder-guard,bug,ghost,scratch,cut,sand-attack,double-edge,hyper-beam,1,90,45,30,30,40
293,whismur,48,6,163,"soundproof, rattled",normal,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,64,51,23,51,23,28
294,loudred,126,10,405,"soundproof, scrappy",normal,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,84,71,43,71,43,48
295,exploud,221,15,840,"soundproof, scrappy",normal,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,104,91,63,91,73,68
296,makuhita,47,10,864,"thick-fat, guts, sheer-force",fighting,,mega-punch,fire-punch,ice-punch,thunder-punch,whirlwind,72,60,30,20,30,25
297,hariyama,166,23,2538,"thick-fat, guts, sheer-force",fighting,,mega-punch,fire-punch,ice-punch,thunder-punch,whirlwind,144,120,60,40,60,50
298,azurill,38,2,20,"thick-fat, huge-power, sap-sipper",normal,fairy,slam,headbutt,body-slam,take-down,double-edge,50,20,40,20,40,20
299,nosepass,75,10,970,"sturdy, magnet-pull, sand-force",rock,,fire-punch,ice-punch,thunder-punch,headbutt,tackle,30,45,135,45,90,30
300,skitty,52,6,110,"cute-charm, normalize, wonder-skin",normal,,double-slap,headbutt,tackle,body-slam,double-edge,50,45,45,35,35,50
301,delcatty,140,11,326,"cute-charm, normalize, wonder-skin",normal,,double-slap,headbutt,tackle,body-slam,double-edge,70,65,65,55,55,90
302,sableye,133,5,110,"keen-eye, stall, prankster",dark,ghost,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,50,75,75,65,65,50
303,mawile,133,6,115,"hyper-cutter, intimidate, sheer-force",steel,fairy,mega-punch,ice-punch,thunder-punch,vice-grip,swords-dance,50,85,85,55,55,50
304,aron,66,4,600,"sturdy, rock-head, heavy-metal",steel,rock,cut,stomp,headbutt,tackle,body-slam,50,70,100,40,40,30
305,lairon,151,9,1200,"sturdy, rock-head, heavy-metal",steel,rock,cut,headbutt,tackle,body-slam,take-down,60,90,140,50,50,40
306,aggron,239,21,3600,"sturdy, rock-head, heavy-metal",steel,rock,mega-punch,fire-punch,ice-punch,thunder-punch,cut,70,110,180,60,60,50
307,meditite,56,6,112,"pure-power, telepathy",fighting,psychic,pound,mega-punch,fire-punch,ice-punch,thunder-punch,30,40,55,40,55,60
308,medicham,144,13,315,"pure-power, telepathy",fighting,psychic,pound,mega-punch,fire-punch,ice-punch,thunder-punch,60,60,75,60,75,80
309,electrike,59,6,152,"static, lightning-rod, minus",electric,,headbutt,tackle,body-slam,double-edge,leer,40,45,40,65,40,65
310,manectric,166,15,402,"static, lightning-rod, minus",electric,,headbutt,tackle,body-slam,double-edge,leer,70,75,60,105,60,105
311,plusle,142,4,42,"plus, lightning-rod",electric,,mega-punch,thunder-punch,mega-kick,headbutt,body-slam,60,50,40,85,75,95
312,minun,142,4,42,"minus, volt-absorb",electric,,mega-punch,thunder-punch,mega-kick,headbutt,body-slam,60,40,50,75,85,95
313,volbeat,151,7,177,"illuminate, swarm, prankster",bug,,mega-punch,ice-punch,thunder-punch,mega-kick,tackle,65,73,75,47,85,85
314,illumise,151,6,177,"oblivious, tinted-lens, prankster",bug,,mega-punch,ice-punch,thunder-punch,mega-kick,tackle,65,47,75,73,85,85
315,roselia,140,3,20,"natural-cure, poison-point, leaf-guard",grass,poison,swords-dance,cut,body-slam,double-edge,poison-sting,50,60,45,100,80,65
316,gulpin,60,4,103,"liquid-ooze, sticky-hold, gluttony",poison,,pound,fire-punch,ice-punch,thunder-punch,swords-dance,70,43,53,43,53,40
317,swalot,163,17,800,"liquid-ooze, sticky-hold, gluttony",poison,,pound,fire-punch,ice-punch,thunder-punch,swords-dance,100,73,83,73,83,55
318,carvanha,61,8,208,"rough-skin, speed-boost",water,dark,take-down,thrash,double-edge,leer,bite,45,90,20,65,20,65
319,sharpedo,161,18,888,"rough-skin, speed-boost",water,dark,take-down,double-edge,leer,bite,roar,70,120,40,95,40,95
320,wailmer,80,20,1300,"water-veil, oblivious, pressure",water,,headbutt,body-slam,thrash,double-edge,growl,130,70,35,70,35,60
321,wailord,175,145,3980,"water-veil, oblivious, pressure",water,,headbutt,body-slam,double-edge,growl,roar,170,90,45,90,45,60
322,numel,61,7,240,"oblivious, simple, own-tempo",fire,ground,stomp,headbutt,tackle,body-slam,take-down,60,60,40,65,45,35
323,camerupt,161,19,2200,"magma-armor, solid-rock, anger-point",fire,ground,headbutt,tackle,body-slam,take-down,double-edge,70,100,70,105,75,40
324,torkoal,165,5,804,"white-smoke, drought, shell-armor",fire,,headbutt,body-slam,take-down,double-edge,ember,70,85,140,85,70,20
325,spoink,66,7,306,"thick-fat, own-tempo, gluttony",psychic,,whirlwind,headbutt,body-slam,take-down,double-edge,60,25,35,70,80,60
326,grumpig,165,9,715,"thick-fat, own-tempo, gluttony",psychic,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,80,45,65,90,110,80
327,spinda,126,11,50,"own-tempo, tangled-feet, contrary",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,60,60,60,60,60,60
328,trapinch,58,7,150,"hyper-cutter, arena-trap, sheer-force",ground,,gust,sand-attack,headbutt,body-slam,take-down,45,100,45,45,45,10
329,vibrava,119,11,153,levitate,ground,dragon,gust,fly,sand-attack,headbutt,body-slam,50,70,50,50,50,70
330,flygon,234,20,820,levitate,ground,dragon,mega-punch,fire-punch,thunder-punch,gust,fly,80,100,80,80,80,100
331,cacnea,67,4,513,"sand-veil, water-absorb",grass,,mega-punch,thunder-punch,swords-dance,cut,sand-attack,50,85,40,85,40,35
332,cacturne,166,13,774,"sand-veil, water-absorb",grass,dark,mega-punch,thunder-punch,swords-dance,cut,mega-kick,70,115,60,115,60,55
333,swablu,62,4,12,"natural-cure, cloud-nine",normal,flying,fly,fury-attack,body-slam,take-down,double-edge,45,40,60,40,75,50
334,altaria,172,11,206,"natural-cure, cloud-nine",dragon,flying,fly,fury-attack,body-slam,take-down,double-edge,75,70,90,70,105,80
335,zangoose,160,13,403,"immunity, toxic-boost",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,73,115,60,60,60,90
336,seviper,160,27,525,"shed-skin, infiltrator",poison,,swords-dance,bind,headbutt,body-slam,wrap,73,100,60,100,60,65
337,lunatone,161,10,1680,levitate,rock,psychic,tackle,body-slam,double-edge,ice-beam,blizzard,90,55,65,95,85,70
338,solrock,161,12,1540,levitate,rock,psychic,swords-dance,tackle,body-slam,double-edge,flamethrower,90,95,85,55,65,70
339,barboach,58,4,19,"oblivious, anticipation, hydration",water,ground,headbutt,take-down,thrash,double-edge,water-gun,50,48,43,46,41,60
340,whiscash,164,9,236,"oblivious, anticipation, hydration",water,ground,headbutt,body-slam,take-down,thrash,double-edge,110,78,73,76,71,60
341,corphish,62,6,115,"hyper-cutter, shell-armor, adaptability",water,,vice-grip,guillotine,swords-dance,cut,body-slam,43,80,65,50,35,35
342,crawdaunt,164,11,328,"hyper-cutter, shell-armor, adaptability",water,dark,vice-grip,guillotine,swords-dance,cut,body-slam,63,120,85,90,55,55
343,baltoy,60,5,215,levitate,ground,psychic,headbutt,double-edge,ice-beam,psybeam,solar-beam,40,40,55,40,70,55
344,claydol,175,15,1080,levitate,ground,psychic,headbutt,double-edge,ice-beam,psybeam,hyper-beam,60,70,105,70,120,75
345,lileep,71,10,238,"suction-cups, storm-drain",rock,grass,swords-dance,bind,body-slam,wrap,double-edge,66,41,77,61,87,23
346,cradily,173,15,604,"suction-cups, storm-drain",rock,grass,swords-dance,bind,headbutt,body-slam,wrap,86,81,97,81,107,43
347,anorith,71,7,125,"battle-armor, swift-swim",rock,bug,scratch,swords-dance,cut,sand-attack,headbutt,45,95,50,40,50,75
348,armaldo,173,15,682,"battle-armor, swift-swim",rock,bug,scratch,swords-dance,cut,headbutt,body-slam,75,125,100,70,80,45
349,feebas,40,6,74,"swift-swim, oblivious, adaptability",water,,tackle,double-edge,mist,surf,ice-beam,20,15,20,10,55,80
350,milotic,189,62,1620,"marvel-scale, competitive, cute-charm",water,,bind,tackle,body-slam,wrap,take-down,95,60,79,100,125,81
351,castform,147,3,8,forecast,normal,,headbutt,tackle,body-slam,double-edge,disable,70,70,70,70,70,70
352,kecleon,154,10,220,"color-change, protean",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,scratch,60,90,70,60,120,40
353,shuppet,59,6,23,"insomnia, frisk, cursed-body",ghost,,headbutt,body-slam,double-edge,disable,psybeam,44,75,35,63,33,45
354,banette,159,11,125,"insomnia, frisk, cursed-body",ghost,,swords-dance,headbutt,body-slam,double-edge,psybeam,64,115,65,83,63,65
355,duskull,59,8,150,"levitate, frisk",ghost,,headbutt,body-slam,double-edge,leer,disable,20,40,90,30,90,25
356,dusclops,159,16,306,"pressure, frisk",ghost,,mega-punch,fire-punch,ice-punch,thunder-punch,bind,40,70,130,60,130,25
357,tropius,161,20,1000,"chlorophyll, solar-power, harvest",grass,flying,razor-wind,swords-dance,cut,gust,whirlwind,99,68,83,72,87,51
358,chimecho,159,6,10,levitate,psychic,,bind,tackle,wrap,take-down,double-edge,75,50,80,95,90,65
359,absol,163,12,470,"pressure, super-luck, justified",dark,,scratch,razor-wind,swords-dance,cut,headbutt,65,130,60,75,60,75
360,wynaut,52,6,140,"shadow-tag, telepathy",psychic,,counter,amnesia,splash,destiny-bond,charm,95,23,48,23,48,23
361,snorunt,60,7,168,"inner-focus, ice-body, moody",ice,,headbutt,body-slam,take-down,double-edge,leer,50,50,50,50,50,50
362,glalie,168,15,2565,"inner-focus, ice-body, moody",ice,,headbutt,body-slam,take-down,double-edge,leer,80,80,80,80,80,80
363,spheal,58,8,395,"thick-fat, ice-body, oblivious",ice,water,headbutt,body-slam,double-edge,growl,water-gun,70,40,50,55,50,25
364,sealeo,144,11,876,"thick-fat, ice-body, oblivious",ice,water,headbutt,body-slam,double-edge,growl,roar,90,60,70,75,70,45
365,walrein,239,14,1506,"thick-fat, ice-body, oblivious",ice,water,swords-dance,headbutt,body-slam,double-edge,growl,110,80,90,95,90,65
366,clamperl,69,4,525,"shell-armor, rattled",water,,body-slam,double-edge,supersonic,water-gun,surf,35,64,85,74,55,32
367,huntail,170,17,270,"swift-swim, water-veil",water,,bind,body-slam,double-edge,bite,water-gun,55,104,105,94,75,52
368,gorebyss,170,18,226,"swift-swim, hydration",water,,bind,body-slam,double-edge,water-gun,hydro-pump,55,84,105,114,75,52
369,relicanth,170,10,234,"swift-swim, rock-head, sturdy",water,rock,headbutt,tackle,body-slam,take-down,double-edge,100,90,130,45,65,55
370,luvdisc,116,6,87,"swift-swim, hydration",water,,tackle,take-down,double-edge,supersonic,water-gun,43,30,55,40,65,97
371,bagon,60,6,421,"rock-head, sheer-force",dragon,,cut,headbutt,body-slam,take-down,thrash,45,75,60,40,30,50
372,shelgon,147,11,1105,"rock-head, overcoat",dragon,,cut,headbutt,body-slam,take-down,double-edge,65,95,100,60,50,50
373,salamence,270,15,1026,"intimidate, moxie",dragon,flying,cut,fly,headbutt,body-slam,take-down,95,135,80,110,80,100
374,beldum,60,6,952,"clear-body, light-metal",steel,psychic,headbutt,tackle,take-down,iron-defense,zen-headbutt,40,55,80,35,60,30
375,metang,147,12,2025,"clear-body, light-metal",steel,psychic,ice-punch,thunder-punch,cut,headbutt,tackle,60,75,100,55,80,50
376,metagross,270,16,5500,"clear-body, light-metal",steel,psychic,ice-punch,thunder-punch,cut,headbutt,tackle,80,135,130,95,90,70
377,regirock,261,17,2300,"clear-body, sturdy",rock,,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,80,100,200,50,100,50
378,regice,261,18,1750,"clear-body, ice-body",ice,,mega-punch,ice-punch,thunder-punch,stomp,mega-kick,80,50,100,100,200,50
379,registeel,261,19,2050,"clear-body, light-metal",steel,,mega-punch,ice-punch,thunder-punch,stomp,mega-kick,80,75,150,75,150,50
380,latias,270,14,400,levitate,dragon,psychic,cut,fly,body-slam,take-down,double-edge,80,80,90,110,130,110
381,latios,270,20,600,levitate,dragon,psychic,cut,fly,body-slam,take-down,double-edge,80,90,80,130,110,110
382,kyogre,302,45,3520,drizzle,water,,headbutt,body-slam,take-down,double-edge,roar,100,100,90,150,140,90
383,groudon,302,35,9500,drought,ground,,mega-punch,fire-punch,thunder-punch,swords-dance,cut,100,150,140,100,90,90
384,rayquaza,306,70,2065,air-lock,dragon,flying,swords-dance,fly,bind,headbutt,body-slam,105,150,90,150,90,95
385,jirachi,270,3,11,serene-grace,steel,psychic,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,100,100,100,100,100,100
386,deoxys-normal,270,17,608,pressure,psychic,,fire-punch,ice-punch,thunder-punch,cut,bind,50,150,50,150,50,150
387,turtwig,64,4,102,"overgrow, shell-armor",grass,,swords-dance,cut,headbutt,tackle,body-slam,55,68,64,45,55,31
388,grotle,142,11,970,"overgrow, shell-armor",grass,,swords-dance,cut,headbutt,tackle,body-slam,75,89,85,55,65,36
389,torterra,236,22,3100,"overgrow, shell-armor",grass,ground,swords-dance,cut,headbutt,tackle,body-slam,95,109,105,75,85,56
390,chimchar,62,5,62,"blaze, iron-fist",fire,,fire-punch,thunder-punch,scratch,swords-dance,cut,44,58,44,58,44,61
391,monferno,142,9,220,"blaze, iron-fist",fire,fighting,fire-punch,thunder-punch,scratch,swords-dance,cut,64,78,52,78,52,81
392,infernape,240,12,550,"blaze, iron-fist",fire,fighting,fire-punch,thunder-punch,scratch,swords-dance,cut,76,104,71,104,71,108
393,piplup,63,4,52,"torrent, competitive",water,,pound,cut,headbutt,fury-attack,tackle,53,51,53,61,56,40
394,prinplup,142,8,230,"torrent, competitive",water,,pound,cut,headbutt,fury-attack,tackle,64,66,68,81,76,50
395,empoleon,239,17,845,"torrent, competitive",water,steel,pound,swords-dance,cut,headbutt,fury-attack,84,86,88,111,101,60
396,starly,49,3,20,"keen-eye, reckless",normal,flying,gust,wing-attack,whirlwind,fly,sand-attack,40,55,30,30,30,60
397,staravia,119,6,155,"intimidate, reckless",normal,flying,gust,wing-attack,whirlwind,fly,tackle,55,75,50,40,40,80
398,staraptor,218,12,249,"intimidate, reckless",normal,flying,gust,wing-attack,whirlwind,fly,tackle,85,120,70,50,60,100
399,bidoof,50,5,200,"simple, unaware, moody",normal,,swords-dance,cut,headbutt,tackle,take-down,59,45,40,35,40,31
400,bibarel,144,10,315,"simple, unaware, moody",normal,water,swords-dance,cut,headbutt,tackle,take-down,79,85,60,55,60,71
401,kricketot,39,3,22,"shed-skin, run-away",bug,,pound,tackle,growl,absorb,string-shot,37,25,41,25,41,25
402,kricketune,134,10,255,"swarm, technician",bug,,pound,swords-dance,cut,tackle,take-down,77,85,51,55,51,65
403,shinx,53,5,95,"rivalry, intimidate, guts",electric,,double-kick,headbutt,tackle,take-down,double-edge,45,65,34,40,34,45
404,luxio,127,9,305,"rivalry, intimidate, guts",electric,,headbutt,tackle,take-down,double-edge,leer,60,85,49,60,49,60
405,luxray,235,14,420,"rivalry, intimidate, guts",electric,,headbutt,tackle,body-slam,take-down,double-edge,80,120,79,95,79,70
406,budew,56,2,12,"natural-cure, poison-point, leaf-guard",grass,poison,swords-dance,cut,poison-sting,pin-missile,absorb,40,30,35,50,70,55
